SiteName,Tickets,SLA_Rate,Avg_Duration,Region,City
Region3_SAN JUAN CITY_b5b00bf5,1125,0.9,81.22,Region 3,SAN JUAN CITY
Region3_MAKATI CITY_89796080,1098,0.79,34.14,Region 3,MAKATI CITY
Region2_Unknown_Unknown,982,0.9,86.78,Region 2,Unknown
Region4_Unknown_Unknown,945,0.76,220.59,Region 4,Unknown
Region4_Unknown_30c1b3a0,906,0.67,90.4,Region 4,Unknown
Region5_Unknown_Unknown,850,0.79,117.4,Region 5,Unknown
Region3_Unknown_Unknown,819,0.83,100.94,Region 3,Unknown
Region4_Unknown_1fa6b8cb,710,0.91,24.36,Region 4,Unknown
Region5_Unknown_ce4a07ef,539,0.72,115.46,Region 5,Unknown
Region3_MAKATI CITY_e38bb3d3,496,0.86,5.69,Region 3,MAKATI CITY
Region1_Unknown_d1f20b19,430,0.78,65.67,Region 1,Unknown
Region1_Unknown_Unknown,416,0.88,129.07,Region 1,Unknown
Region2_Unknown_8859b2bc,390,0.75,414.04,Region 2,Unknown
Region5_Unknown_da01e5fc,352,0.78,255.36,Region 5,Unknown
Region3_QUEZON CITY_2c40fd71,345,0.66,68.64,Region 3,QUEZON CITY
Region1_Unknown_81a4f9bd,337,0.78,196.98,Region 1,Unknown
Region3_Unknown_ebc3e6c9,289,0.83,393.82,Region 3,Unknown
Region3_CALOOCAN CITY_712a8f02,178,0.71,433.24,Region 3,CALOOCAN CITY
Region5_Unknown_97955494,175,0.63,97.26,Region 5,Unknown
Region3_QUEZON CITY_7a4de035,170,0.78,8.5,Region 3,QUEZON CITY
Region3_Unknown_f49005a2,167,0.87,40.1,Region 3,Unknown
Region2_Unknown_fae4eb51,164,0.88,106.25,Region 2,Unknown
Region2_Unknown_f05c5d1a,158,0.69,374.18,Region 2,Unknown
Region4_Unknown_f0476e16,132,0.8,153.52,Region 4,Unknown
Region3_CALOOCAN CITY_260e8b5e,130,0.74,245.93,Region 3,CALOOCAN CITY
Region3_MAKATI CITY_1a221861,119,0.84,17.6,Region 3,MAKATI CITY
Region1_Unknown_b95fbf57,118,0.82,543.73,Region 1,Unknown
Region3_PARANAQUE CITY_b1db66b7,102,0.83,153.87,Region 3,PARANAQUE CITY
Region3_PARANAQUE CITY_8dcf24ee,95,0.82,11.58,Region 3,PARANAQUE CITY
Region5_Unknown_46705e61,93,0.6,62.01,Region 5,Unknown
Region3_MANILA CITY_f3067d6b,88,0.92,10.76,Region 3,MANILA CITY
Region5_Unknown_44bcacbd,84,0.73,22.29,Region 5,Unknown
